,Gender,Customer Type,Type of Travel,Class,satisfaction,Age,Flight Distance,Inflight entertainment,Baggage handling,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes
41841,Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,50,1081,2,2,2,16,3.0
41842,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,41,158,4,5,4,17,21.0
41843,Male,disloyal Customer,Business travel,Eco,neutral or dissatisfied,22,546,5,4,5,0,0.0
41844,Male,Loyal Customer,Business travel,Eco,neutral or dissatisfied,47,455,4,3,4,0,11.0
41845,Male,Loyal Customer,Business travel,Business,satisfied,24,1935,3,5,3,0,0.0
41846,Female,Loyal Customer,Business travel,Business,satisfied,51,119,5,4,5,0,4.0
41847,Female,Loyal Customer,Personal Travel,Eco Plus,neutral or dissatisfied,35,337,5,5,5,18,19.0
41848,Male,disloyal Customer,Business travel,Eco,neutral or dissatisfied,36,954,2,2,2,0,0.0
41849,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,60,1389,4,4,5,0,3.0
41850,Female,Loyal Customer,Business travel,Business,satisfied,46,3088,5,5,3,4,9.0
41851,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,44,384,2,2,3,6,7.0
41852,Male,Loyal Customer,Business travel,Business,satisfied,46,373,5,5,3,0,0.0
41853,Female,disloyal Customer,Business travel,Eco,neutral or dissatisfied,37,451,4,5,4,0,0.0
41854,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,52,998,5,5,3,17,0.0
41855,Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,60,1660,2,3,2,0,0.0
41856,Male,Loyal Customer,Business travel,Business,satisfied,60,2726,5,5,3,0,3.0
41857,Male,disloyal Customer,Business travel,Business,neutral or dissatisfied,45,1092,2,4,2,15,3.0
41858,Male,Loyal Customer,Business travel,Business,neutral or dissatisfied,52,135,2,1,2,39,80.0
41859,Female,Loyal Customer,Business travel,Eco,neutral or dissatisfied,38,404,2,3,2,0,0.0
41860,Female,Loyal Customer,Business travel,Business,satisfied,41,2611,3,4,4,0,0.0
41861,Female,Loyal Customer,Business travel,Business,satisfied,40,2662,4,4,3,2,0.0
41862,Male,Loyal Customer,Business travel,Business,neutral or dissatisfied,65,409,3,3,2,16,23.0
41863,Female,Loyal Customer,Business travel,Business,satisfied,45,347,4,4,3,0,0.0
41864,Female,Loyal Customer,Personal Travel,Eco Plus,neutral or dissatisfied,32,247,1,4,1,0,0.0
41865,Female,Loyal Customer,Personal Travel,Eco,satisfied,70,432,5,5,2,5,0.0
41866,Male,Loyal Customer,Business travel,Business,neutral or dissatisfied,25,3037,3,2,3,15,0.0
41867,Female,Loyal Customer,Business travel,Business,satisfied,50,503,5,5,4,0,0.0
41868,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,22,189,2,5,2,0,0.0
41869,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,22,746,2,3,2,81,88.0
41870,Female,Loyal Customer,Business travel,Business,neutral or dissatisfied,54,3703,2,2,4,1,0.0
41871,Male,Loyal Customer,Business travel,Eco,neutral or dissatisfied,52,1126,3,3,3,11,14.0
41872,Male,Loyal Customer,Business travel,Business,satisfied,42,3368,4,5,5,0,0.0
41873,Male,Loyal Customer,Business travel,Business,satisfied,56,666,4,4,4,3,0.0
41874,Male,disloyal Customer,Business travel,Eco,neutral or dissatisfied,29,1020,3,2,3,0,11.0
41875,Male,Loyal Customer,Business travel,Business,satisfied,42,554,4,4,3,25,16.0
41876,Female,Loyal Customer,Business travel,Business,satisfied,41,2380,4,4,5,0,0.0
41877,Male,Loyal Customer,Business travel,Business,satisfied,32,3005,5,5,5,55,81.0
41878,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,53,2139,2,2,4,0,0.0
41879,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,28,1133,3,3,3,84,76.0
41880,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,70,313,5,5,3,0,0.0
41881,Male,Loyal Customer,Business travel,Business,neutral or dissatisfied,19,1828,4,4,4,9,0.0
41882,Male,Loyal Customer,Business travel,Eco Plus,neutral or dissatisfied,31,920,1,4,1,0,0.0
41883,Female,disloyal Customer,Business travel,Eco,neutral or dissatisfied,22,542,4,3,4,0,0.0
41884,Male,Loyal Customer,Business travel,Business,satisfied,43,2239,3,3,5,0,0.0
41885,Female,Loyal Customer,Business travel,Eco Plus,neutral or dissatisfied,28,684,2,3,2,0,0.0
41886,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,50,879,1,1,4,0,0.0
41887,Male,Loyal Customer,Business travel,Business,satisfied,48,2586,3,3,5,68,65.0
41888,Male,Loyal Customer,Personal Travel,Business,neutral or dissatisfied,37,191,4,5,4,149,140.0
41889,Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,70,1346,2,4,2,0,0.0
41890,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,51,607,3,3,3,9,0.0
41891,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,40,970,2,5,2,0,0.0
41892,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,37,332,1,5,1,0,0.0
41893,Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,22,927,4,4,4,83,65.0
41894,Female,Loyal Customer,Business travel,Business,satisfied,45,3638,4,4,3,57,48.0
41895,Male,disloyal Customer,Business travel,Eco,neutral or dissatisfied,35,762,4,5,4,1,0.0
41896,Male,Loyal Customer,Business travel,Eco,neutral or dissatisfied,38,337,2,3,2,87,89.0
41897,Female,Loyal Customer,Business travel,Eco Plus,satisfied,59,919,4,4,4,0,0.0
41898,Female,Loyal Customer,Business travel,Business,satisfied,47,1504,4,4,5,50,25.0
41899,Female,disloyal Customer,Business travel,Business,neutral or dissatisfied,42,989,1,4,1,32,38.0
41900,Male,Loyal Customer,Business travel,Business,satisfied,53,2039,5,5,3,15,0.0
41901,Female,Loyal Customer,Business travel,Business,satisfied,50,257,5,5,3,0,1.0
41902,Male,Loyal Customer,Personal Travel,Eco Plus,neutral or dissatisfied,54,192,5,3,5,0,0.0
41903,Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,15,475,3,4,3,0,0.0
41904,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,44,522,5,5,3,0,13.0
41905,Male,Loyal Customer,Business travel,Eco,neutral or dissatisfied,57,451,1,4,1,0,8.0
41906,Female,disloyal Customer,Business travel,Business,satisfied,28,522,1,4,1,16,13.0
41907,Female,Loyal Customer,Business travel,Eco,neutral or dissatisfied,29,489,2,3,2,0,5.0
41908,Female,disloyal Customer,Business travel,Eco,neutral or dissatisfied,37,386,4,5,4,0,0.0
41909,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,18,937,1,2,1,0,0.0
41910,Male,Loyal Customer,Business travel,Eco,neutral or dissatisfied,52,584,2,3,2,11,34.0
41911,Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,30,534,3,5,3,0,0.0
41912,Male,Loyal Customer,Business travel,Business,satisfied,48,2773,5,5,4,0,12.0
41913,Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,37,187,5,5,5,0,0.0
41914,Female,disloyal Customer,Business travel,Eco,neutral or dissatisfied,26,907,5,4,5,0,0.0
41915,Male,disloyal Customer,Business travel,Business,neutral or dissatisfied,26,921,1,5,1,0,0.0
41916,Male,Loyal Customer,Business travel,Business,satisfied,25,2266,3,5,3,0,2.0
41917,Female,Loyal Customer,Personal Travel,Eco,satisfied,34,867,3,2,3,0,0.0
41918,Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,48,991,5,5,5,7,0.0
41919,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,44,1464,3,1,3,0,0.0
41920,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,51,1440,4,4,5,12,40.0
41921,Female,Loyal Customer,Business travel,Business,satisfied,30,116,2,4,2,0,0.0
41922,Female,Loyal Customer,Business travel,Business,neutral or dissatisfied,49,371,3,3,1,19,6.0
41923,Female,Loyal Customer,Business travel,Business,satisfied,22,395,5,4,5,19,7.0
41924,Female,Loyal Customer,Personal Travel,Business,neutral or dissatisfied,47,406,5,5,5,49,40.0
41925,Female,Loyal Customer,Business travel,Business,satisfied,45,631,5,5,3,0,0.0
41926,Female,Loyal Customer,Business travel,Business,satisfied,59,762,2,2,3,13,23.0
41927,Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,64,612,4,4,4,0,0.0
41928,Female,disloyal Customer,Business travel,Eco,neutral or dissatisfied,18,174,4,4,4,0,59.0
41929,Male,Loyal Customer,Business travel,Business,satisfied,53,460,4,4,4,50,42.0
41930,Male,Loyal Customer,Business travel,Business,satisfied,51,358,3,3,5,0,0.0
41931,Male,Loyal Customer,Business travel,Business,neutral or dissatisfied,23,3951,4,3,1,151,126.0
41932,Female,Loyal Customer,Personal Travel,Eco Plus,neutral or dissatisfied,52,2475,1,4,2,74,67.0
41933,Female,Loyal Customer,Business travel,Business,satisfied,34,370,5,5,5,0,6.0
41934,Male,disloyal Customer,Business travel,Business,neutral or dissatisfied,36,1400,3,4,3,112,97.0
41935,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,10,300,4,4,4,0,0.0
41936,Female,Loyal Customer,Business travel,Eco Plus,satisfied,52,859,5,5,4,0,0.0
41937,Female,Loyal Customer,Business travel,Business,satisfied,59,237,5,4,5,138,125.0
41938,Female,disloyal Customer,Business travel,Eco,neutral or dissatisfied,24,1261,3,5,5,0,0.0
41939,Female,Loyal Customer,Business travel,Business,neutral or dissatisfied,55,1751,2,2,4,7,13.0
41940,Female,disloyal Customer,Business travel,Eco,neutral or dissatisfied,22,641,5,3,5,0,0.0
41941,Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,27,529,5,5,5,0,0.0
41942,Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,55,733,4,3,4,0,0.0
41943,Female,Loyal Customer,Business travel,Business,satisfied,54,1947,4,4,3,0,0.0
41944,Male,Loyal Customer,Personal Travel,Business,neutral or dissatisfied,70,354,4,5,5,16,22.0
41945,Female,Loyal Customer,Business travel,Business,satisfied,41,1010,2,2,5,0,0.0
41946,Female,disloyal Customer,Business travel,Eco,neutral or dissatisfied,36,446,3,3,3,0,4.0
41947,Female,disloyal Customer,Business travel,Eco,neutral or dissatisfied,20,781,5,3,5,0,0.0
41948,Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,51,557,5,1,5,0,0.0
41949,Male,Loyal Customer,Business travel,Eco,satisfied,74,662,4,4,4,25,0.0
41950,Female,Loyal Customer,Business travel,Eco,satisfied,35,453,5,3,5,0,0.0
41951,Female,Loyal Customer,Business travel,Business,satisfied,57,589,5,5,4,1,0.0
41952,Male,Loyal Customer,Business travel,Business,satisfied,50,2757,4,3,3,233,250.0
41953,Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,11,581,5,5,5,16,23.0
41954,Male,Loyal Customer,Business travel,Business,neutral or dissatisfied,56,550,4,4,3,5,12.0
41955,Female,Loyal Customer,Business travel,Business,satisfied,21,1686,4,5,4,0,0.0
41956,Male,Loyal Customer,Personal Travel,Business,neutral or dissatisfied,47,684,2,2,5,0,0.0
41957,Male,Loyal Customer,Business travel,Business,satisfied,55,3431,2,2,4,27,24.0
41958,Female,Loyal Customer,Business travel,Eco,satisfied,49,533,4,4,1,45,40.0
41959,Male,Loyal Customer,Business travel,Business,satisfied,14,2366,4,5,4,0,21.0
41960,Female,Loyal Customer,Business travel,Business,neutral or dissatisfied,56,2760,5,1,3,28,26.0
41961,Female,Loyal Customer,Personal Travel,Eco,satisfied,65,435,3,3,5,0,0.0
41962,Male,Loyal Customer,Business travel,Eco,neutral or dissatisfied,45,479,4,3,4,0,0.0
41963,Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,20,189,2,4,2,0,0.0
41964,Male,disloyal Customer,Business travel,Eco,neutral or dissatisfied,22,1297,2,4,2,5,19.0
41965,Male,Loyal Customer,Business travel,Eco,satisfied,57,119,4,4,4,0,0.0
41966,Male,disloyal Customer,Business travel,Eco,neutral or dissatisfied,32,480,1,3,1,0,0.0
41967,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,7,319,1,5,1,0,0.0
41968,Male,disloyal Customer,Business travel,Eco,satisfied,22,721,5,3,5,0,0.0
41969,Female,Loyal Customer,Personal Travel,Eco Plus,neutral or dissatisfied,64,272,1,2,3,4,0.0
41970,Male,Loyal Customer,Personal Travel,Eco Plus,neutral or dissatisfied,20,116,5,4,5,0,0.0
41971,Female,disloyal Customer,Business travel,Eco,neutral or dissatisfied,44,646,4,4,4,0,0.0
41972,Male,disloyal Customer,Business travel,Eco,neutral or dissatisfied,28,545,5,4,5,0,0.0
41973,Female,Loyal Customer,Business travel,Business,satisfied,49,444,5,5,3,30,26.0
41974,Male,disloyal Customer,Business travel,Business,satisfied,22,280,3,4,3,39,32.0
41975,Female,Loyal Customer,Business travel,Eco,satisfied,55,216,5,5,2,0,0.0
41976,Male,Loyal Customer,Business travel,Business,satisfied,54,946,4,4,5,0,0.0
41977,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,50,1972,3,5,2,0,8.0
41978,Female,Loyal Customer,Business travel,Business,neutral or dissatisfied,32,427,3,2,3,0,0.0
41979,Female,Loyal Customer,Business travel,Business,satisfied,54,1554,4,4,5,59,70.0
41980,Male,Loyal Customer,Business travel,Business,satisfied,32,1667,4,5,4,77,
41981,Male,Loyal Customer,Business travel,Business,satisfied,30,3845,4,5,4,0,0.0
41982,Male,Loyal Customer,Business travel,Business,neutral or dissatisfied,31,2316,4,3,4,0,0.0
41983,Male,disloyal Customer,Business travel,Business,satisfied,38,594,4,4,4,12,8.0
41984,Female,disloyal Customer,Business travel,Business,satisfied,25,1294,4,5,4,14,1.0
41985,Male,Loyal Customer,Business travel,Business,neutral or dissatisfied,33,551,2,3,2,19,21.0
41986,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,34,361,5,5,5,5,0.0
41987,Male,disloyal Customer,Business travel,Business,satisfied,39,849,3,4,3,26,4.0
41988,Female,disloyal Customer,Business travel,Eco,neutral or dissatisfied,65,320,1,3,1,5,11.0
41989,Female,Loyal Customer,Business travel,Eco,satisfied,39,1452,4,2,4,5,0.0
41990,Male,disloyal Customer,Business travel,Eco,neutral or dissatisfied,37,181,5,4,5,7,0.0
41991,Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,22,317,4,5,4,0,0.0
41992,Female,Loyal Customer,Business travel,Business,satisfied,39,1777,4,4,4,0,29.0
41993,Female,Loyal Customer,Business travel,Eco Plus,neutral or dissatisfied,49,387,2,2,3,0,0.0
41994,Female,disloyal Customer,Business travel,Eco,neutral or dissatisfied,18,1190,4,3,4,0,0.0
41995,Male,disloyal Customer,Business travel,Business,satisfied,29,2446,3,4,2,0,11.0
41996,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,68,1034,5,1,4,0,0.0
41997,Male,disloyal Customer,Business travel,Eco,neutral or dissatisfied,20,123,4,2,4,11,25.0
41998,Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,48,430,5,4,5,0,0.0
41999,Female,Loyal Customer,Business travel,Business,satisfied,57,3325,5,5,3,0,2.0
42000,Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,15,997,3,4,3,0,0.0
42001,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,58,589,3,1,4,1,0.0
42002,Female,Loyal Customer,Personal Travel,Business,neutral or dissatisfied,21,770,3,5,3,0,0.0
42003,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,60,305,4,2,4,0,0.0
42004,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,58,1190,1,1,5,0,0.0
42005,Male,Loyal Customer,Business travel,Business,satisfied,15,2907,5,4,5,0,0.0
42006,Female,Loyal Customer,Business travel,Business,satisfied,35,3910,4,4,4,0,1.0
42007,Female,Loyal Customer,Business travel,Business,satisfied,36,3731,4,4,5,17,28.0
42008,Male,Loyal Customer,Business travel,Business,satisfied,60,1587,5,5,5,0,0.0
42009,Female,Loyal Customer,Business travel,Business,neutral or dissatisfied,23,3306,4,4,4,1,21.0
42010,Male,Loyal Customer,Business travel,Business,satisfied,46,2766,4,4,5,0,11.0
42011,Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,67,347,4,5,4,0,0.0
42012,Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,57,473,4,3,4,2,0.0
42013,Male,Loyal Customer,Business travel,Business,satisfied,43,3403,5,5,4,42,41.0
42014,Female,Loyal Customer,Personal Travel,Eco Plus,neutral or dissatisfied,64,751,5,5,3,129,120.0
42015,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,28,210,1,3,1,37,42.0
42016,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,66,692,2,2,5,0,8.0
42017,Male,disloyal Customer,Business travel,Eco,neutral or dissatisfied,30,719,5,3,5,0,11.0
42018,Male,Loyal Customer,Business travel,Business,satisfied,57,3765,3,3,3,0,0.0
42019,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,28,184,4,4,4,14,5.0
42020,Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,64,1590,1,5,1,0,0.0
42021,Female,Loyal Customer,Business travel,Business,satisfied,33,641,4,4,3,0,0.0
42022,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,24,846,4,4,4,9,1.0
42023,Female,Loyal Customer,Personal Travel,Eco Plus,neutral or dissatisfied,28,594,5,3,5,0,0.0
42024,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,65,907,1,1,4,8,6.0
42025,Female,Loyal Customer,Business travel,Business,satisfied,40,1717,4,4,3,0,0.0
42026,Male,Loyal Customer,Business travel,Business,satisfied,40,197,4,5,4,11,1.0
42027,Female,Loyal Customer,Business travel,Eco Plus,satisfied,48,554,5,5,2,0,0.0
42028,Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,17,680,4,5,4,0,0.0
42029,Female,Loyal Customer,Business travel,Eco,satisfied,37,183,4,1,4,71,57.0
42030,Female,Loyal Customer,Personal Travel,Eco Plus,neutral or dissatisfied,55,273,3,3,3,0,4.0
42031,Male,disloyal Customer,Business travel,Business,satisfied,22,228,3,5,3,26,32.0
42032,Male,Loyal Customer,Business travel,Business,satisfied,40,3080,5,5,3,0,0.0
42033,Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,39,1995,5,4,5,2,11.0
42034,Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,24,164,4,4,4,0,0.0
42035,Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,29,744,2,5,2,0,2.0
42036,Male,Loyal Customer,Business travel,Business,neutral or dissatisfied,57,3687,2,2,1,0,0.0
42037,Female,disloyal Customer,Business travel,Business,satisfied,29,888,1,5,1,14,22.0
42038,Male,Loyal Customer,Business travel,Business,satisfied,57,2818,4,4,5,6,0.0
42039,Male,Loyal Customer,Business travel,Business,satisfied,39,1620,5,5,3,0,0.0
42040,Female,Loyal Customer,Business travel,Business,neutral or dissatisfied,56,2881,3,1,3,0,18.0
42041,Female,Loyal Customer,Business travel,Business,satisfied,30,3267,4,4,4,327,326.0
42042,Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,59,363,3,1,3,4,13.0
42043,Male,Loyal Customer,Business travel,Business,satisfied,33,2367,5,4,5,7,1.0
42044,Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,59,680,3,4,3,0,0.0
42045,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,38,1044,5,2,5,12,12.0
42046,Male,Loyal Customer,Business travel,Business,satisfied,29,2668,3,4,3,16,0.0
42047,Male,disloyal Customer,Business travel,Business,neutral or dissatisfied,29,1242,3,5,5,301,289.0
42048,Male,Loyal Customer,Business travel,Business,satisfied,40,3415,4,4,5,0,0.0
42049,Male,Loyal Customer,Business travel,Business,satisfied,49,3284,3,3,5,0,0.0
42050,Male,Loyal Customer,Business travel,Business,satisfied,34,1597,5,5,4,4,0.0
42051,Female,Loyal Customer,Business travel,Business,satisfied,25,2288,5,4,5,0,0.0
42052,Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,28,1069,4,1,4,0,0.0
42053,Male,Loyal Customer,Business travel,Business,satisfied,55,3959,5,5,3,7,0.0
42054,Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,12,711,5,4,5,49,47.0
42055,Male,Loyal Customer,Business travel,Business,satisfied,67,163,4,4,5,0,0.0
42056,Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,55,946,3,1,3,0,0.0
42057,Male,Loyal Customer,Business travel,Eco,satisfied,56,594,4,4,4,7,0.0
42058,Male,Loyal Customer,Business travel,Eco,satisfied,56,261,5,2,5,0,0.0
42059,Male,disloyal Customer,Business travel,Business,neutral or dissatisfied,35,859,4,4,4,0,0.0
42060,Female,disloyal Customer,Business travel,Business,neutral or dissatisfied,41,331,4,4,4,0,0.0
42061,Female,disloyal Customer,Business travel,Business,neutral or dissatisfied,37,548,4,4,4,0,0.0
42062,Female,disloyal Customer,Business travel,Eco,neutral or dissatisfied,25,663,2,3,2,28,12.0
42063,Male,disloyal Customer,Business travel,Eco,neutral or dissatisfied,28,566,2,3,2,100,88.0
42064,Male,Loyal Customer,Business travel,Business,satisfied,50,1124,3,3,4,13,3.0
42065,Female,Loyal Customer,Business travel,Eco,neutral or dissatisfied,34,416,2,3,2,22,38.0
42066,Male,Loyal Customer,Business travel,Business,satisfied,32,516,4,5,4,0,0.0
42067,Female,Loyal Customer,Personal Travel,Eco Plus,neutral or dissatisfied,69,429,5,5,2,0,0.0
42068,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,35,315,2,3,2,0,20.0
42069,Female,disloyal Customer,Business travel,Eco,neutral or dissatisfied,33,639,3,1,3,47,50.0
42070,Male,Loyal Customer,Business travel,Business,satisfied,44,3357,4,4,4,0,0.0
42071,Female,disloyal Customer,Business travel,Eco,neutral or dissatisfied,55,163,5,3,5,0,0.0
42072,Female,Loyal Customer,Business travel,Eco,satisfied,38,67,4,4,4,11,1.0
42073,Male,Loyal Customer,Business travel,Business,satisfied,39,669,5,5,3,20,68.0
42074,Female,Loyal Customer,Business travel,Eco,satisfied,35,438,4,4,4,0,0.0
42075,Male,disloyal Customer,Business travel,Eco,neutral or dissatisfied,28,829,1,4,1,0,0.0
42076,Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,23,364,2,5,2,0,40.0
42077,Female,disloyal Customer,Business travel,Eco,neutral or dissatisfied,21,719,4,5,4,0,0.0
42078,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,50,432,2,4,5,0,21.0
42079,Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,12,444,1,5,1,0,0.0
42080,Female,Loyal Customer,Business travel,Business,satisfied,44,2214,4,4,3,0,0.0
42081,Female,Loyal Customer,Business travel,Business,neutral or dissatisfied,26,3879,3,3,3,0,0.0
42082,Female,Loyal Customer,Business travel,Business,neutral or dissatisfied,42,216,4,3,4,1,4.0
42083,Female,Loyal Customer,Business travel,Business,neutral or dissatisfied,37,1554,3,3,1,47,33.0
42084,Female,Loyal Customer,Business travel,Eco,neutral or dissatisfied,17,134,4,3,4,10,15.0
42085,Male,disloyal Customer,Business travel,Eco,neutral or dissatisfied,30,134,3,3,3,0,0.0
42086,Male,Loyal Customer,Personal Travel,Eco Plus,satisfied,40,214,1,4,1,0,0.0
42087,Female,disloyal Customer,Business travel,Eco,neutral or dissatisfied,27,957,2,3,2,1,0.0
42088,Female,Loyal Customer,Personal Travel,Business,neutral or dissatisfied,17,802,2,2,2,25,29.0
42089,Female,Loyal Customer,Business travel,Business,satisfied,25,918,4,4,4,0,0.0
42090,Female,Loyal Customer,Personal Travel,Business,neutral or dissatisfied,54,507,2,2,4,0,0.0
42091,Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,25,1062,5,5,5,58,34.0
42092,Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,56,1167,4,5,4,0,8.0
42093,Male,Loyal Customer,Business travel,Eco,neutral or dissatisfied,36,1167,1,3,1,0,21.0
42094,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,15,737,2,5,2,0,4.0
42095,Female,Loyal Customer,Business travel,Business,satisfied,47,409,4,4,5,0,0.0
42096,Male,Loyal Customer,Business travel,Business,satisfied,57,2587,4,4,4,0,71.0
42097,Male,Loyal Customer,Business travel,Business,satisfied,51,895,3,3,5,4,0.0
42098,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,23,1304,5,4,5,55,44.0
42099,Male,Loyal Customer,Business travel,Business,satisfied,38,2922,4,4,3,17,13.0
42100,Male,Loyal Customer,Business travel,Eco,satisfied,37,997,4,5,4,371,372.0
42101,Male,Loyal Customer,Business travel,Business,satisfied,39,2396,5,5,3,0,0.0
42102,Male,Loyal Customer,Personal Travel,Eco,satisfied,68,2603,1,3,5,20,52.0
42103,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,51,680,5,5,3,8,8.0
42104,Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,56,1315,1,4,1,0,0.0
42105,Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,64,2248,5,4,2,16,40.0
42106,Female,Loyal Customer,Business travel,Business,satisfied,45,936,4,4,5,0,0.0
42107,Male,Loyal Customer,Business travel,Business,satisfied,36,2387,4,5,5,0,0.0
42108,Male,Loyal Customer,Business travel,Business,satisfied,43,3079,5,3,4,0,0.0
42109,Female,Loyal Customer,Business travel,Eco,satisfied,57,312,5,5,5,0,0.0
42110,Male,Loyal Customer,Personal Travel,Eco,satisfied,37,297,1,5,1,0,6.0
42111,Male,Loyal Customer,Business travel,Business,satisfied,29,3688,4,5,4,0,0.0
42112,Male,Loyal Customer,Business travel,Business,neutral or dissatisfied,36,173,3,1,3,12,8.0
42113,Female,Loyal Customer,Business travel,Business,satisfied,54,3918,5,5,5,124,143.0
42114,Female,Loyal Customer,Business travel,Eco,satisfied,55,236,5,5,3,29,24.0
42115,Male,Loyal Customer,Business travel,Eco,neutral or dissatisfied,53,772,2,3,2,0,0.0
42116,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,42,164,3,3,4,10,2.0
42117,Male,Loyal Customer,Business travel,Business,satisfied,43,255,5,5,3,4,0.0
42118,Female,Loyal Customer,Business travel,Business,satisfied,57,599,4,4,4,4,1.0
42119,Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,25,399,3,5,3,65,55.0
42120,Female,Loyal Customer,Business travel,Business,satisfied,58,1719,5,5,3,12,2.0
42121,Male,disloyal Customer,Business travel,Eco,neutral or dissatisfied,16,83,4,4,4,39,31.0
42122,Male,disloyal Customer,Business travel,Eco,neutral or dissatisfied,25,1062,3,4,3,0,2.0
42123,Female,disloyal Customer,Business travel,Eco,neutral or dissatisfied,26,323,4,3,4,11,13.0
42124,Female,Loyal Customer,Business travel,Business,neutral or dissatisfied,18,1726,2,3,2,0,0.0
42125,Male,Loyal Customer,Personal Travel,Business,neutral or dissatisfied,18,861,5,5,5,0,0.0
42126,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,62,391,4,5,4,147,137.0
42127,Male,Loyal Customer,Business travel,Eco,neutral or dissatisfied,39,366,2,2,2,3,0.0
